id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
11189309,78702,76,"Routine Inspection","1614 E 7TH ST AUSTIN, TX 78702 ",Nasha,2014-12-28T00:00:00Z,30.263731,-97.725113,1,range_interpolation,1614,"E 7th St",Austin,TX,"Travis County",78702,US
11189827,78748,100,"Routine Inspection","1807 W SLAUGHTER LN Unit 100 AUSTIN, TX 78748 ","Independence Fine Foods",2014-12-28T00:00:00Z,30.17357,-97.821475,1,range_interpolation,1807,"W Slaughter Ln",Austin,TX,"Travis County",78748,US
11190036,78752,94,"Routine Inspection","6700 MIDDLE FISKVILLE RD AUSTIN, TX 78752 ",Vongo's,2014-12-28T00:00:00Z,30.328803,-97.707149,1,range_interpolation,6700,"Middle Fiskville Rd",Austin,TX,"Travis County",78752,US
11190716,78758,83,"Routine Inspection","1808 CEDAR BEND DR AUSTIN, TX 78758 ","Cedar Bend Child Development Center",2015-12-27T00:00:00Z,30.408176,-97.695257,1,range_interpolation,1808,"Cedar Bend Dr",Austin,TX,"Travis County",78758,US
11191042,78738,96,"Routine Inspection","14058 BEE CAVE PKWY Bldg B BEE CAVE, TX 78738 ","BC - Park Manor",2014-12-28T00:00:00Z,30.316418,-97.949372,0.8,street_center,,"Bee Cave Pkwy",Austin,TX,"Travis County",78738,US
11191562,78759,94,"Routine Inspection","8650 SPICEWOOD SPRINGS RD Unit 133B AUSTIN, TX 78759 ","Lighthouse, The",2015-12-27T00:00:00Z,30.433576,-97.771406,1,range_interpolation,8650,"Spicewood Springs Rd",Austin,TX,"Travis County",78759,US
11191782,78722,96,"Routine Inspection","2406 MANOR RD Unit B AUSTIN, TX 78722 ","Sugar Mama's Bakeshop Eastside",2015-12-27T00:00:00Z,30.284753,-97.717309,1,range_interpolation,2406,"Manor Rd",Austin,TX,"Travis County",78722,US
11191821,78758,78,"Routine Inspection","11220 N LAMAR BLVD Bunit 150 AUSTIN, TX 78758 ","Peace Bakery & Deli",2015-12-27T00:00:00Z,30.381115,-97.687031,1,range_interpolation,11220,"N Lamar Blvd",Austin,TX,"Travis County",78753,US
11192434,78722,98,"Routine Inspection","3807 N IH 35 SVRD NB AUSTIN, TX 78722 ","Fighting Orange",2015-12-27T00:00:00Z,30.388532,-97.672564,0.8,street_center,,"I- 35",Austin,TX,"Travis County",78753,US
11192795,78702,99,"Routine Inspection","2000 E 6TH ST AUSTIN, TX 78702 ","Cuvee Coffee",2015-12-27T00:00:00Z,30.261371,-97.721328,1,range_interpolation,2000,"E 6th St",Austin,TX,"Travis County",78702,US
11192837,78717,96,"Routine Inspection","15101 AVERY RANCH BLVD AUSTIN, TX 78717 ","Challenger School Elementary",2015-12-27T00:00:00Z,30.494152,-97.790818,0.8,street_center,,"Avery Ranch Blvd",Austin,TX,"Williamson County",78717,US
11193172,78756,75,"Routine Inspection","4801 BURNET RD AUSTIN, TX 78756 ","Fork & Taco",2014-12-28T00:00:00Z,30.319132,-97.739135,1,range_interpolation,4801,"Burnet Rd",Austin,TX,"Travis County",78756,US
11194978,78748,100,"Routine Inspection","10006 MANCHACA RD AUSTIN, TX 78748 ","Indian Roller",2014-12-28T00:00:00Z,30.172032,-97.824246,1,range_interpolation,10006,"Manchaca Rd",Austin,TX,"Travis County",78748,US
11195050,78722,100,"Routine Inspection","2406 MANOR RD Unit A AUSTIN, TX 78722 ","Dai Due Butcher Shop & Supper Club",2015-12-27T00:00:00Z,30.284753,-97.717309,1,range_interpolation,2406,"Manor Rd",Austin,TX,"Travis County",78722,US
11196061,78758,86,"Routine Inspection","11310 DOMAIN DR AUSTIN, TX 78758 ","Punch Bowl Social Austin",2015-12-27T00:00:00Z,30.397404,-97.726203,0.8,street_center,,"Domain Dr",Austin,TX,"Travis County",78758,US
